,type,category,review,star
2,맥북,별점,제조년 2018년도 2주만에 받았구요가격. 서비스 다 좋았지만 퀵배송전에 확인 전화라던지 도착했다는 연락하나 없이 주문한 주소그대로 말없이 퀵 기사님 보낸다는게 좀 그렇습니다. 착불 퀵인데 그시간에 집에 없으면 이 노트북은 어디에 놔둘것이며 퀵비는 어떻게 받았을런지... 제대로 처리해주지 못해서 퀵비 2천원이나 더 붙었네요. 하지만 꼼꼼히 포장해주고 그 외것들은 만족입니다.,5
3,맥북,별점,"일단 배송 굉장히 빠릅니다. 12월 마지막주 금요일 3시 전에 입금했는데, 토요일 2시인가? 에 받았구요이 모델로 말하자면 사과에 불이 들어오는 15인치 맥북 프로 모델을 2백만원 언더로 살 수 있습니다. 17년형은 C포트라 악세사리도 너무 많이 주렁주렁 달리고, 배꼽이 너무 크죠. 하지만 이 모델은 USB단자도 2개에 무엇보다 불이 들어옵니다! 불이!!!!! 카페가서 맥북 15인치 ? 놓고 비트코인 켜놓고 FM 켜놓고 앉아서 번호따이는 각 동의? 어 보감",5
4,맥북,별점,배송 진짜 빠르네요 타 사이트에선 2월6일에 주문했는데도 여태껏 못받았는데.. 지금 작업에 필요한 프로그램 설치하고 있습니다. 제조년월 17년 march이라고 적혀있는 완전 최근제조상품이네요 불량 아닌 멀쩡한 제품으로 온것같고 대체적으로 만족입니다,5
5,맥북,별점," 맥북프로를 드디어 구입했네요
처음 구입하는 터라 궁금한 점도 몇개 있었는데 전화해서 여쭤볼랬더니 처음에는 전화가 잘안되고
세네번거니까 통화 연결 됐는데 전화 받으시는 분
바쁘신건지 말투가 좀 많이 차가워 보이셔서 잘 못물어보겠드라구요..
아무튼 인터넷으로 계속 찾고 찾다가 이곳에서 결국은 구입했습니다..
 
포장옵션 추가해서 주문 했더니
바로 다음날 도착한 맥북..
 포장 상태는 이렇네요 ㅎㅎ
뽁뽁이로 맥북 박스 엄청 감싸주셨더라고요
 
포장 해체하고 제가 받은 것들..
제가 추가로 구입한 것은 키보드 스킨(블랙) + 케이스입니다.
 
 
마치 아이폰을 처음 살때처럼 칼로 조심스럽게 박스 뜯고 꺼내봤습니다..
상태 매우 좋습니다 구동도 아주 잘되고
제조년월도 2016년 2월이라고 적혀있더군요.ㅎㅎ
애플 공식 홈페이지에서 확인해본 결과 정품이라고 인증도 되구요.
 
현재는 케이스 씌우고 아주 잘 사용하고 있어요
배송도 빠르고 아주 만족합니다.
디자인은 역시나 애플이죠
 다만 아쉬운 점은 윈도우 설치 ;;
동네 사설에서 받는거보다 몇배 더 비싸네요..
 
 ",5
6,맥북,별점,"불량화소나 빛샘현상도 없고, 안전하게 잘 도착 했습니다.에어캡 안전포장 해주신 사진이 아쉽게 없지만 에어캡으로 이중 포장 되어 있을 때 정말 두껍게 2중 포장 해주셨더라구요.택배 받으면서 안전 포장 받아 본 것 중 최고 였습니다.맥 성능 또한 충분히 만족 하구요.이상없이 잘 됩니다.배송은 제 사양이 거의 하지 않는 사양이라 제조 된 것도 없었나 봅니다.어제 받았는데 제조년월이 어제 받은 날 기준으로 이번 달이더라구요.제품 상태도 만족하고, 배송도 만족 합니다.",5
7,맥북,별점,"요즘 구하기 힘들다는 맥북 프로 15인치 방문수령...주차장도 구비되어있구요... 음료/커피도 마음껏 먹을수 있었구요...요즘 나오는 ""신제품""도 직접 사용해볼수 있고... ""신작게임""도 체험했어요...방문수령 정말 재미있게 다녀왔어요!!!",5
8,맥북,별점,오픈마켓에서 구매하고 기다리시는 분들 많다고 해서 저도 최장 한달은 생각하고 주문했는데 기본형이라 그런지 빨리 도착했어요 생각보다 너무 빨리와서 별 다섯개 드립니다^^ 물건 어제 보니 상태도 좋고 문제 없는것 같아 구매확정 누릅니다 저는 참고로 주문한지 1주일도 안되어서 받았어요^^,5
9,맥북,별점,드디어 맥북을 구입해서 쓰는데 정말 좋내요 가격은 미국보다 좀 비싸게 샀지만 빨리 써야하는관계로 색상이 일단 정말 좋네요 프로그램자체가 쉽개 사용하게 만들어서 여러가지 좋네요 15인치라 무게는 전것보가 차이가 나네요 [G마켓 아이폰 앱에서 작성],5
10,맥북,별점,"조카놈이 이번에 디자인 대학에 입학을 하게되서
입학선물로 하나 사줬는데 맥북프로 15년형 NEW MacBook Pro Retina15 MJLQ2KH/A
 
뭐 아시다싶이 애플꺼라 품질에대한 만족도는 걱정없고요.
걱정할것은 A/S나 보증을 받을 수 있느냐 없느냐의  정품이냐 벌크냐 인데
한국 정식수입 정품 맞더라구요.
 
매장에서 고객등록을 위한 바코드 한쪽을 띄어가서 등록했구요.
저도 애플샵에가서 바코드로 정품인증 확인했습니다.
 
.
 
단,  맥북 외관에 스킨(스킨은 기본이더군요 요즘)을 씌우시고 싶으신분은
구입후 미리 전화해서 스킨 씌워달라고 부탁하세요.
 
저는 그거 모르고 그냥 '받으러 갔을때(전 방문수령) 스킨 씌어달라고 하지뭐' 하고
갔었는데  스킨씌우는게 시간이 다소 걸리더라구요.
장인의 정신으로 한땀 한땀 하다보니... 
그래서 한 20분정도 기다린듯 합니다. 물론 추가금 6만원 주긴했는데
맥북 사용자들이 한결같이 하는말이  전면스킨은 필수라길래 해줬죠 ㅎ0ㅎ
 
암튼 전면 스킨 씌우실거라면 미리 연락해서 해달라고 하세요. 개인이 하기에는
고난이도고  맡겨도 다소 시간이 걸리니 ...
 ",5
11,맥북,별점,매장에 재고가 있는지전화 상담도 친절 하게 해주시고빠른 배송 해줄 수 있도록 당일 출고 할 수 있도록상품 구매 후 추가 전화를 해달라는 내용도물건을 받았을때 뾱뾱이에 잘 포장되어서 안전하게 배송된것도 좋네요하자 없이 잘 쓰고 있답니다.,5
