,0,1,2,3
108,[최종184만원] 삼성 갤럭시북 프로360 NT950QDB-K71A,2149000,등록일 2021.05.,384
109,삼성 갤럭시북 이온 NT930XCR-A58A,2350000,등록일 2021.06.,381
110,삼성전자 갤럭시북 Pro 360 39.6 cm Core™ i7 / 1 TB NVMe SSD NT950QDB-KD71N,2490000,등록일 2021.05.,369
111,삼성전자 갤럭시북 이온2 NT930XDA-K71AW,1779000,등록일 2020.12.,363
112,삼성전자 갤럭시북 플렉스2 NT930QDZ-A58AZ,1494990,등록일 2020.12.,342
113,[특가 197만] 삼성 갤럭시북 프로360 NT950QDB-K71A,2199000,등록일 2021.05.,339
114,삼성전자 갤럭시북 프로 NT930XDY-A51A,1398000,등록일 2021.04.,331
115,삼성 갤럭시북 프로 NT950XDC-X71A Nvme SSD 1TB / 개봉장착,2156060,등록일 2021.02.,328
116,삼성 갤럭시북 프로360 NT950QDY-A51A 512GB 2IN1 인강 사무용 노트북,1969000,등록일 2020.12.,327
117,삼성 갤럭시북 프로360 NT950QDY-A51A 512GB 2IN1 인강 사무용 노트북,1969000,등록일 2020.12.,327
118,갤럭시북 프로 NT950XDC-X71A Nvme SSD 1TB / 개봉장착,2179000,등록일 2020.12.,326
119,삼성전자 갤럭시북 프로360 NT950QDY-A51A 태블릿 대학생 2in1 가벼운 노트북,1798000,등록일 2021.04.,323
120,삼성전자 갤럭시북 프로360 NT950QDY-A51A 태블릿 대학생 2in1 가벼운 노트북,1798000,등록일 2021.04.,323
121,[혜택가184만/2종사은품] 삼성전자 갤럭시북 프로360 NT950QDB-K71A 직장인 재택근무 사무용 강의용 노트북,2199000,등록일 2021.04.,315
122,[혜택가184만/2종사은품] 삼성전자 갤럭시북 프로360 NT950QDB-K71A 직장인 재택근무 사무용 강의용 노트북,2199000,등록일 2021.04.,315
123,삼성전자 갤럭시북 플렉스 NT950QCT-A58A 대학생 인강용 15인치노트북,1900000,등록일 2019.12.,310
124,삼성 컨버터블 갤럭시북 플렉스 알파 인강용 사무용 대학생 재택근무 노트북 /+Ram UP,1499000,등록일 2019.03.,309
125,삼성 컨버터블 갤럭시북 플렉스 알파 인강용 사무용 대학생 재택근무 노트북 /+Ram UP,1499000,등록일 2019.03.,309
