,type,review,star
21,아이패드,일단 한국 정식 유통 제품으로 가장 저렴하게 구입했고 수요일에 주문해서 금요일에 받았어요. 배송도 정말 빠르고 좋아요. 진짜 어느정도냐면 위메프 어플도 없는 제가 굳이 사이트 들어와서 로그인하고 후기를 남길 만큼 감사해요. 무조건 그냥 여기서 사세요.,5
22,아이패드,"급하게 필요한 상황이었는데 덕분에 구매한 바로 다음날 받을 수 있었습니다. 전화는 신호음이 세 번도 울리기 전에 바로바로 받아주시며, 친절하셔서 너무 마음이 놓이고 좋은 구매였다고 생각합니다 :)현재까지 이상 없습니다!",5
23,아이패드,"오픈마켓은 정품 아니면 어쩌지 하고 고민하며 인터넷 찾아보다가 컴퓨존이 친구가 다니는 회사라서 ㅋㅋㅋㅋ 믿고 구매할 수 있는 큰 회사이기에 ... 스그 색상 주문했어요 ㅎㅎㅎ상품 상자도 흠집 하나 없게 뽁뽁이로 3-4번 감겨서 배송오구, 하자 있거나 불량이면 어쩌나 엄청 고민했는데 ! 애플 뽑기 잘 걸렸는지 하자 하나 없어요 ~~ 액정에 먼지 끼임도 말 많던데 눈 크게 뜨고 찾아봐도 없어서 너무 만족 ♥? 흠집날까봐 무서워서 액정필름이랑 케이스 오기 전까지 고이 모셔두는 중인데, 언눙 들고 나가고 싶어요오 >",5
24,아이패드,"상품이 너무너무 좋아 후기남겨요!!배송도 주문한지 하루만에 도착했고, 상품도 하자없이 깨끗하게 왔습니다. 해외에서 사용하려고 급하게 주문하였는데 100%만족하는제품이와서 기분이 너무 좋았어요. 해외에 있어서 사용후기가 늦었지만 잘 사용하고있습니다.또 뽁뽁이로 잘 감싸서 오니 불안해하지않고 주문하셔도됩니다.좋은상품 빠른배송으로 안전하게 받아보실수있어요!!판매자님 상품 잘받았습니다!!",5
25,아이패드,"인터넷으로 전자기기 구매는 워낙 안 좋은 말을 많이 들어서 안하고 있었는데요!주말에 아이패드 보고 나서 아이패드 병이 걸려버려서.........찾고 찾다가 저렴한 가격에 판매되고 있길래 냉큼 구매했어요!구매하고나서도 엄청 걱정이 많았거든요..택배는 던지기도 하니까 혹시라도 파손될까봐..ㅠㅠ에어캡으로 꼼꼼하게 포장해주시고, 흔들리지 않도록 고정까지 해주셔서완전 무사히 도착했어요! 감사합니다!!상품은 스페이스그레이로 구매했어요!항상 전자기기는 화이트!를 고집하지만..아이패드6세대는 보는 순간 아..스그다..했어요 ㅋㅋㅋㅋㅋㅋ실버랑 골드도 예쁜데, 그냥 아이패드는 스그에요!!!!그리고 배송도 무지 빨랐어요!!당일 발송이지만 제가 결제를 좀 늦게한 편이라서다음날 발송되겠지~했는데 진짜 칼배송..(다른곳은 보통 12시 전까지만 당일발송 아닌가용?)인터넷 구매에 대한 불안을 버릴 수 있게 해주셔서 고맙습니다!!앞으로는 믿고 구매할 수 있을거같아요!!사업 번창하세용!! 컴퓨존 최고!!",5
26,아이패드,스마트픽으로 신청해서 당일날 빠르게 잘받았어요.저렴하게 잘 구입해서 상품에는 대만족이지만 직원들 서비스는 조금 문제있네요. 좀 불친절하고 그러네요. 직접가서 구입한게 아니라서 고객응대를 이렇게 하나 싶을정도로 퉁명스럽고 귀찮다는 듯이 아이패드를 건네주시더라구요. 아마 바쁘셔서 그런것일수도 있고 제가 예민하게 받아들여서 그럴수도 있겠지만 일단 기본적으로 서비스직종이면 고객을 왕처럼 대해주라는게 아니라 기분좋은 방문이 될수있게 조금만 더 웃으면서 고객응대를 해야하지않을까요? 개선이 조금은 더 필요하다고 봅니다. ,5
27,아이패드,사실 첨엔 조금 짜증아닌 짜증도 나긴 했습니다..분명 5시전 결제 하면 다음날 도착 예정이라길래4일 4시쯤 결제를 해서 다음날 받아 볼 수 있겠다 싶었는데5일 아침에도 배송 준비중이길래 문의를 했고 다음날 받아 볼 수 있다고 하더라구요...  제가 뭔가를 시킬땐 좀 성격이 급해져서..ㅎㅎ그리고 택배사가 늦었는지 결국 3일만에 왔네요 ㅠㅠ 미개봉으로 도착했고 터치팬도 같이 주셨더라고요다른분들 리뷰대로 돼지코 어댑터지만 젠더도 같이 보내주셨구요 새상품 그대로 아주 이쁘게 도착했습니다개봉 하자마자 짜증은 다 없어졌내요 ㅎㅎ 아 생각보다는 얇고 이쁘지만 생각만큼 가볍진 않은거 같아용 ㅎㅎ그래도 잘 쓰겠숩니다,5
28,아이패드,오래된 아이패드2가 너무 느려서 교체했습니다.정말 가볍고 크기도 적당해 들고 쓰기 좋습니다.구입전 아이패드 프로와 고민했는데 화면크기 빼고 성능과 화질은 충분히 만족스럽네요.배송은 정말 주문하고 바로 다음날 하루만에 왔습니다. 엄청나네요.,5
29,아이패드,이상 없는 좋은 상태의 제품 잘 받았습니다.액정보호 강화유리도 잘 와서 바로 붙이고 사용가능했어요.  사은품으로 주는 포인트는 후에 펜 사는데 이용하려고 기다리고 있어요. 골드가 다른 제품들보단 인기가 덜한것 같은데 정말 예쁜 살짝 핑크빛보는 색이라 개인적으로 맘에 듭니다.,5
30,아이패드,구매후기도 없구 제품 설명이 조금 자세하지 않아서 고민도 됐고 배송도 하루동안 그대로여서 취소할지 말지 고민했는데 그래도 주말끼고 4일?만에 빨리 도착했어요! 제품 이상없고 작동도 잘됩니다!! 다른 곳에서 주문했다가 여기가 2만원정도 더 저렴해서 샀는데 좋아요**^^,5
